codigo_postal,calificacion_num_media,calificacion_num_n_edificios,superficie_util_media,superficie_util_n_edificios,anyo_construccion_media,anyo_construccion_n_edificios,emisiones_co2_media,emisiones_co2_n_edificios,consumo_energia_primaria_media,consumo_energia_primaria_n_edificios
48000,3.4934210526315788,152,120.60959933116527,152,1987.7368421052631,152,43.15064996693691,152,159.1077371320067,152
48005,3.6941747572815533,412,122.84315132983919,412,1986.0388349514562,412,45.07968331436396,412,151.4703177821061,412
48010,3.4608695652173913,230,116.86199573453649,230,1985.695652173913,230,46.57821731492962,230,151.18966093828536,230
48015,3.629032258064516,248,116.8428901279916,248,1986.625,248,43.16103871391004,248,146.9942728749006,248
48020,3.6347305389221556,167,121.10923779037934,167,1984.11377245509,167,43.05827698484227,167,150.39577800843264,167
48025,3.5634920634920637,252,120.71345240642982,252,1985.547619047619,252,44.414272116275576,252,151.32126530196174,252
48030,3.7288135593220337,118,125.51644565172155,118,1987.457627118644,118,44.78584548083658,118,150.83380920176103,118
48035,3.637770897832817,323,116.13514156922017,323,1983.938080495356,323,43.68128426267449,323,144.9391686220666,323
48040,3.8037974683544302,158,115.56413148187193,158,1985.4620253164558,158,46.904972902331224,158,152.01956083580555,158
48045,3.5425531914893615,94,125.01515733081959,94,1986.904255319149,94,43.85038247711547,94,148.64161388068584,94
48050,3.656398104265403,422,118.38731880001961,422,1985.7701421800948,422,44.773488777244374,422,146.92531929667064,422
48055,3.5808823529411766,272,118.6192941346017,272,1986.8308823529412,272,44.434125448965474,272,150.73704905589466,272
48060,3.6201716738197427,466,120.72376472827705,466,1985.3583690987125,466,45.27614276299871,466,154.16728018966236,466
48065,3.653361344537815,476,119.64625810442641,476,1987.3445378151262,476,44.45458201423046,476,149.48857997580828,476
48070,3.74749498997996,499,117.87130438369054,499,1985.4488977955912,499,45.94212554915416,499,149.43466199636623,499
48075,3.675603217158177,373,122.81061088003186,373,1985.970509383378,373,44.87536690959327,373,153.08160181249002,373
48080,3.6542669584245075,457,122.08013639589328,457,1986.9343544857768,457,44.563409004686555,457,152.1876906565576,457
48085,3.5261324041811846,287,115.2469620910162,287,1985.418118466899,287,44.225767494043225,287,152.35589679132858,287
48090,3.5357142857142856,140,118.11785907946467,140,1987.9214285714286,140,46.118036480944845,140,149.20246184958333,140
48095,3.5291479820627805,223,119.33846181691254,223,1985.0627802690583,223,46.354933310507874,223,149.09956579886227,223
