codigo_postal,calificacion_energetica,superficie_util,anyo_construccion,emisiones_co2,consumo_energia_primaria
48000,E,147.18715802406493,1970,20.921304830970556,81.19890406724053
48000,B,89.2285115200832,1973,55.5621931064197,61.282315805420055
48000,D,121.11109133059915,1991,13.266596424953079,244.75110376829184
48000,C,98.61035431983274,2011,64.96231729751095,89.93475643167196
48000,D,92.78086377374086,2000,57.62152770114458,140.09985039390858
48000,A,125.54612948549331,2009,49.43017524918775,127.08330050798322
48000,A,82.54617382783223,2009,18.542676439134517,149.03538202225405
48000,A,81.08089964545529,1985,22.756526145164365,201.0722820635305
48000,C,136.14998986391487,2012,68.95993422164989,139.95082667395315
48000,C,50.32915295636481,1963,60.90903970994946,115.30815376116708
48000,D,148.22321192775678,2002,51.07258159646938,243.0510614528276
48000,D,121.27503340406741,1990,30.739145399285768,83.0533878126005
48000,A,26.21616138967414,1957,10.386548198652168,213.09228569096683
48000,D,51.66089305568511,1984,65.31228783718439,171.19199495620228
48000,F,153.1142256809531,2022,53.63086887792905,116.17960497052984
48000,B,132.05610812935646,1972,56.81888768645251,183.18447132349934
48000,D,142.89425385000075,1996,59.92713510560965,202.15700972337947
48000,D,35.78563108170593,1963,44.56569174550735,154.5465658763988
48000,C,124.35235341190857,2001,49.429290038346856,189.1032172852255
48000,B,105.04963247670662,1964,62.88857969801341,95.75963309832449
48000,B,79.57531985534061,2015,53.70478336936553,109.1267371675428
48000,B,94.91214782077317,1977,66.257045382938,87.31401177720717
48000,E,188.59310667748883,2011,17.703634716937373,95.58703250838833
48000,C,128.77766469774164,1952,10.486649137183349,152.14946051551314
48000,C,100.22417742098534,1993,27.088786557344193,83.65820843458611
48000,C,105.5431571765029,2001,35.454072166550574,244.35641654419214
48000,F,119.072459774418,2005,12.582086314817296,171.91286679597937
48000,D,36.324768900488834,2003,12.313551303038388,119.0142496053366
48000,D,136.90113294375706,1981,48.702516234992956,168.5393447758787
48000,B,218.72855984767432,2005,26.634628079467976,195.6432697223719
48000,C,190.2602652939094,1960,67.15023112535687,209.66902499691022
48000,B,189.61628767459513,2008,23.0562957279898,58.15502831095279
48000,D,42.46682844669337,2020,22.205650030349403,188.18754762049318
48000,C,123.42814874030137,1950,57.29830819274965,197.0432238481544
48000,C,213.61595586603602,1956,56.19888322239253,213.44444004024317
48000,D,139.8186970032221,2009,28.25804223812863,249.25073995158488
48000,F,170.02428038810524,1958,29.52099468145273,190.07156599455425
48000,E,127.62104311296298,1969,72.0960496985582,205.97510917152476
48000,D,131.31441347494373,1974,10.354310869235308,82.16161028349973
48000,D,162.37007162883194,2003,41.38969000903731,248.89149252216413
48000,B,119.7571527674485,1997,62.25439835826169,179.92657980944293
48000,E,100.83383468670483,1966,31.564255429667245,158.50804611097988
48000,D,54.07149196209437,1979,78.11073883267119,128.61954493335207
48000,E,156.01936210190982,1976,40.40760558573001,120.01568153893514
48000,D,162.50602910619287,2010,44.94353659193266,164.4008398418366
48000,E,139.71699757324149,1966,79.61853575581387,143.98890279818858
48000,C,136.36116931829332,1986,74.98229938114078,135.63682966346286
48000,F,145.3287650836266,2009,69.71066188271521,108.88977841391713
48000,C,97.67425239664894,1967,48.97608837208451,237.2309548321562
48000,D,162.81993971617362,1995,16.8023545639538,173.00144533983394
48000,G,122.9104359223,1951,32.578553496702035,219.73395898493487
48000,B,62.85148510846884,1997,48.69739838355354,109.3020287295597
48000,C,152.839866558199,2009,45.793967920265644,150.30325893743992
48000,E,48.2049590312984,2014,14.965864189994935,129.35676544277766
48000,B,41.97214637813654,2012,12.515959165771946,143.11960362649205
48000,D,220.01740445530518,1971,51.358328239830755,56.10004998780988
48000,A,96.40340671052833,2009,32.865586925722866,215.57380075751774
48000,C,174.4475298483683,1954,42.008561312961,218.40461500239627
48000,B,203.18848947241256,1989,60.82639336058631,245.17041589250692
48000,D,83.03817842724465,1979,12.874726173751306,129.76418028895893
48000,C,77.12255571694496,2011,68.51860843585442,189.19484121873958
48000,C,162.00026883112145,2007,74.06496093385363,138.47044594622088
48000,C,129.19277572047793,2010,61.652784168703796,160.87081050228014
48000,D,148.89485675494174,2016,27.34116926508102,121.19453573025231
48000,E,142.19097140731142,1965,16.848391245570102,148.32317502336647
48000,C,158.73170267146685,1982,42.5271669057728,179.95473652855267
48000,A,120.09068055973381,2018,57.87746385786988,173.17023287798276
48000,F,157.7967640895826,1951,11.855791737913528,167.15511625469264
48000,F,25.131150875567116,1982,42.07770233440616,159.12335786318698
48000,F,184.0270380838732,2016,67.42987906398876,180.2969543715576
48000,C,75.84606707602333,1995,11.27552779560848,68.88859215118568
48000,D,85.0310975801759,1957,36.977763467589554,186.32273379455796
48000,C,118.57892712004666,2007,58.77160157549054,175.7885693559768
48000,E,34.17877770280141,1985,39.256222220090514,243.5161103040495
48000,D,203.91527549114477,1998,61.215342870974816,75.53794588449313
48000,C,26.27655625702441,1973,70.69816250468054,162.37333842875472
48000,C,177.21857677373418,1979,73.17870346756968,151.05047448957143
48000,E,162.8932329394233,1962,72.68662599473403,127.84033574683262
48000,A,136.2083176244221,2001,50.14065216863003,176.36744243395987
48000,C,113.49284728161577,1961,33.006518175894115,184.50369121540768
48000,E,151.20599085260775,2002,44.609421329180705,61.51175200332886
48000,D,151.417275463214,1954,61.59248897537062,159.18315403299778
48000,D,124.50362934908306,1956,39.826403253285875,94.5152835142061
48000,C,124.13652179002395,1976,59.436955900954736,66.26975612837995
48000,B,177.7177169204462,2020,79.02007446760096,200.67563705178833
48000,C,96.13091347123395,1980,43.71668915748808,125.59751802445089
48000,D,80.41400106722102,2016,27.757752171119712,131.04041735628343
48000,D,61.40115727747774,1969,18.317254138765037,73.50524935542097
48000,D,145.96732571205862,2011,38.01560250104174,145.54297817604555
48000,B,196.6369456501289,1982,25.651708696361684,242.64450788812226
48000,A,123.48263322594396,1985,48.76979990809245,243.8605071238198
48000,D,169.17521531792326,1998,58.702408228923204,140.90821295355465
48000,D,163.61603183603393,2006,74.06780391683745,241.74048148156925
48000,B,129.1671002869176,1973,53.40928184610757,105.47623659622653
48000,B,13.805213784509661,1999,28.615654747496727,122.06901904105365
48000,C,93.71224891596195,1976,58.87131998138216,157.21927326882408
48000,C,148.5673755163394,1978,19.322958765662477,65.24007591983263
48000,F,168.52619100066053,2018,52.93906371550529,133.64860725812377
48000,F,116.31944421040468,2014,43.625905730644824,247.05721013310088
48000,C,105.88894055063946,1975,36.66235996417151,243.98287956292063
48000,E,114.27300773736911,1950,10.95703753788981,65.07181207049246
48000,D,181.8908155986731,2018,79.98023713002914,249.32736741478107
48000,D,97.49672642603781,2022,19.04115906060465,240.81020545174448
48000,D,151.14249661737495,2011,71.47544672354346,201.39982643444574
48000,A,-53.90846068182782,1952,46.41144507783954,220.43630006370802
48000,D,106.58684690252437,1954,16.18857563559526,208.3635678939266
48000,D,-10.439400484218794,1963,59.28558376694565,92.59283230178215
48000,B,87.2457358087961,1987,52.566149467931965,177.3288643244565
48000,D,132.55974861098372,1987,41.563731319127314,232.0942556806546
48000,C,97.3101667513922,2000,58.83493100454243,209.29435513477546
48000,C,143.03685337819596,2018,78.6022802699834,148.52361879857392
48000,C,149.30528023617003,1992,26.810193314473516,65.17266562173279
48000,B,138.32991230484242,1953,34.19670983267042,229.35768198120238
48000,C,73.00601068363224,1981,22.06239098411409,88.45780376173416
48000,A,93.48711908137795,2010,12.226327703961559,159.74306184148173
48000,D,80.35635838688279,1961,24.443360288405476,122.8539722096151
48000,D,114.9025243760072,1996,53.95302726436354,66.35180638977438
48000,E,122.10670408709646,2012,36.41001756694508,50.51900487672931
48000,E,129.0753488813655,2001,24.654452633569722,124.0944205582764
48000,C,81.23841031661561,1977,35.82395476988407,142.50694322662957
48000,D,148.8278481527883,1967,41.318865677641824,156.5234532910046
48000,C,135.5625077271768,1977,11.404983844440846,114.41583311663565
48000,C,81.33875147735884,1966,34.00488049947822,144.79398828611124
48000,C,102.46053774135655,1967,16.084420166119656,157.42130836370956
48000,D,97.97477205632376,1991,29.864313405910714,122.61645927972702
48000,D,199.101909148189,2008,34.92677081284924,247.30304975859593
48000,D,101.92885802865113,2019,35.574977377184034,147.56196016174758
48000,E,108.07533163079708,2011,29.956661808569297,84.67471905895096
48000,E,122.42608139724135,1989,58.78730236564951,249.45110695367887
48000,E,78.45249417944811,1953,10.37100044783238,245.0134325890285
48000,C,160.79258102445448,2015,48.973402510975085,164.32253789397998
48000,C,148.3377963459413,1993,24.355429210462137,243.59881330084684
48000,D,152.0291003474576,1961,18.038577731744248,172.12400848832652
48000,C,79.26079360048513,1986,45.42727694515429,236.40286845138684
48000,C,33.520995349542716,1959,48.402218255670725,159.78439597779544
48000,C,182.0856979826172,1989,66.69121120982444,100.92813095275277
48000,D,146.49020889576414,1973,52.427131673908704,208.8578899932925
48000,B,192.07843103289503,2018,68.14335854514104,243.0053821333025
48000,B,128.4864642195187,1984,74.85145965127978,194.31931015025543
48000,A,124.46969595728247,2021,67.95586210242443,200.1003849530627
48000,E,97.87838125443514,1975,73.55062913237612,113.23931645929892
48000,D,142.93550857795063,1967,67.1619607630104,137.82698171404368
48000,C,26.46040394870721,1972,40.71212727718373,165.49725418122514
48000,C,102.42432579793457,2015,48.0487002779792,231.2944221929094
48000,D,46.07068771100792,2013,21.67115319953682,225.72582307468764
48000,C,177.18770216034645,1976,65.20180478571714,80.33497594655023
48000,C,161.51679082721228,2017,49.89227794099216,202.4917371481381
48000,E,77.19580870455664,1987,47.553694603921635,125.76431311138315
48000,C,122.7577938209306,1957,20.494219914414167,95.8502790465283
48000,D,245.2844604820986,1951,10.854215062263115,169.68854024104542
48000,D,155.9049274125842,1969,22.7118401760998,231.69011226672566
48000,D,198.3797210439484,2021,39.6517803694338,107.58592329514522
48005,B,129.02654209027156,2009,51.50740336811751,70.44253284503992
48005,F,252.17857916992753,1954,74.5749566824107,191.44772686267973
48005,B,214.1012248237517,2000,61.5510964937306,236.87340295380298
48005,F,187.2710023077489,1972,18.596754729201365,97.18120691901623
48005,B,140.94197069342434,1950,70.89274534434898,153.76761142521443
48005,D,100.53559041362536,1970,36.55139888698842,198.84993036865777
48005,C,143.76594301061533,1984,37.87180855136603,157.4791205875846
48005,F,185.94193105453854,1951,42.599008562316925,146.1673956178147
48005,F,97.82600537573556,2000,27.375850993000633,165.52639081830944
48005,B,124.13279797225158,1982,35.367572938164315,166.1176700556087
48005,D,106.55556547225848,2012,79.78119762921631,150.43900206624852
48005,D,64.67370456291648,1962,37.81226808203185,135.3577810673499
48005,E,97.59864300998848,1998,12.55847674936664,144.41338902199985
48005,D,13.795096283491318,1967,30.58312754546801,192.81183995796565
48005,D,43.266075900862205,1987,63.574939674636845,70.5962958662631
48005,C,259.8016354167638,2004,76.2280823493543,124.66186325595059
48005,C,64.47120772670857,2004,20.930681815633324,193.1944457694795
48005,D,207.61352217118113,2014,48.62058166815378,100.77771280866085
48005,B,248.56861798443916,2016,72.1222337759452,161.3443169566732
48005,D,127.45026834501621,1984,27.022053369961785,194.45338637113184
48005,E,101.951691709046,1986,19.875729414439952,131.27846165470442
48005,C,177.9664901682124,1956,54.32685424376724,197.18092263920047
48005,E,188.3685127360997,1950,67.22104932169086,118.3634703395752
48005,C,167.91269130762856,1951,35.41414485365634,56.845622164105826
48005,E,179.26051457554448,1958,40.52885703947217,108.89315190838354
48005,F,86.49804032223267,1973,17.996654814427778,163.1553239933121
48005,G,53.285599222202165,1963,61.91808609600659,189.76917063218087
48005,C,113.92766802578302,2022,19.75492518509769,216.9860473598598
48005,G,55.577631012133764,1986,11.287347358322672,232.8597613120998
48005,B,125.0408711127026,1990,29.18386544810442,160.83560050315867
48005,D,96.54261399025327,1976,73.00130492936736,224.77801551250306
48005,D,146.34687063158952,1961,54.31686443502133,148.8547700276543
48005,D,103.83673553519719,2011,46.324239369798626,59.39319335501101
48005,B,177.15329514449593,2014,15.795906754758853,170.63042189327763
48005,C,43.79923791364848,1985,60.33321336289718,109.424343124635
48005,D,80.07804762914732,2004,56.45698157538537,237.3659478649516
48005,D,150.37834321656794,2011,76.86654189064353,80.93442817664724
48005,D,44.04100085069115,2015,17.461877719364026,65.02755634716175
48005,D,218.75136768153908,1991,42.17770589327918,65.18668207392442
48005,B,117.63676736854954,1993,77.73895717449605,51.050763711676986
48005,B,169.28613584117818,1998,19.5773041643273,240.0474707641605
48005,C,90.27677259308891,1996,16.069364830352853,241.63415860078607
48005,E,184.22665169669472,2019,78.64037601259918,230.67276252720498
48005,D,154.4518101607486,2008,79.13676055976529,238.81186793732266
48005,A,141.4809109566293,1972,48.90646070060257,144.64202361626667
48005,C,130.38438435815556,1956,30.814430516078552,234.8792390753061
48005,G,118.02224230716725,1988,41.86005795253092,154.4869152142338
48005,D,154.07503486863123,1963,51.738891493743715,96.00176745754061
48005,B,131.10668858168563,1989,40.87225132237131,130.89708993637015
48005,D,96.06256891682614,1953,65.35062153872744,113.75050058641398
48005,D,133.35251329346295,2015,11.708054708957661,224.01977478018597
48005,A,164.48153978117185,1962,47.02559938190484,237.81353970257925
48005,E,94.13557749498139,2006,50.65300450591294,104.33739421380082
48005,C,190.467372009279,1979,39.243674751713364,134.27140045541404
48005,D,98.99065914520713,1963,30.790201351841755,220.56436433838027
48005,D,105.91076955697464,1986,12.946523274545331,53.574786946682764
48005,G,23.31608494462199,2017,25.27777215055449,239.99223679004507
48005,E,59.63020841768128,1992,51.19879602812718,246.46610301601632
48005,E,161.57713788546414,1974,62.03469760255369,62.997281896578805
48005,C,130.38063441140324,2012,26.13984370635133,216.12850355012492
48005,B,113.58942369524446,1990,23.05067835009782,205.91689471335067
48005,C,94.9430016360715,1954,54.08445460973071,93.26480460731071
48005,D,151.5723146766969,1984,63.07669329928639,189.20412361075844
48005,B,242.69210870728546,1981,42.436652375093395,174.58747658702373
48005,D,113.34709576644657,2005,28.592002981209426,75.90298425656084
48005,E,176.2839392184815,1974,69.65354733429055,57.084473683709014
48005,C,126.25773485314443,1987,28.182764863222836,194.684022737717
48005,C,131.482258846899,2019,77.34853808144348,71.89377201089079
48005,E,122.1635847372145,2007,49.992325934370186,182.42240202131293
48005,D,171.52367102179147,1982,71.50409904486105,209.48520432138562
48005,D,161.0241090598682,2002,57.609854023221025,173.72227564303688
48005,E,145.36370155536488,1956,71.71459929392452,242.26305763698147
48005,C,92.90504378057261,1988,21.253192723381574,213.59340482381245
48005,E,151.94455229683865,1961,10.447011020178351,107.40762663498256
48005,D,121.23210492142921,2009,10.635068325690748,213.73588409996836
48005,B,124.49780740633949,1979,11.289940311675222,136.44815677850247
48005,E,60.72899976598444,1986,17.17568095934755,237.44569744729023
48005,D,100.05537538732244,2017,31.067449686277136,191.6344177290563
48005,B,29.502054950964705,1999,79.31038609254529,185.21045143735088
48005,C,168.2507480531615,2001,63.07842371503158,54.9173832917603
48005,A,113.4480796500502,2000,27.675612478186757,50.20589596912668
48005,B,18.23798796872481,1978,76.10125444704809,70.4387239387438
48005,E,184.9329867082168,1981,15.76667319310899,186.0998604149426
48005,D,125.38399348633025,1976,70.76380257726049,242.6473306880264
48005,A,141.54201221668743,2008,77.5164330589146,202.01881568761942
48005,C,132.16538320641828,1950,32.451991830668916,194.8845345228234
48005,D,137.6881389495934,1973,35.796844060663275,222.8716499679274
48005,C,105.60238890485968,2021,21.147201679548512,90.74024985525483
48005,B,112.06722520657068,1999,63.27167936600992,175.24406432628308
48005,B,60.667924131747625,2002,73.82852244719378,243.50225272275554
48005,B,201.90563747738202,1958,24.03673086902357,148.31890934828738
48005,B,195.05194200022302,1951,65.82913704460317,112.07239178471475
48005,C,97.38468403754617,1987,30.416380509651226,188.99637722530852
48005,E,-1.1939663314478395,1990,12.773317774385,146.1013894515658
48005,B,119.81987304547158,1969,34.22115973513877,205.1609471585912
48005,F,62.081765540372864,1951,47.39695441835116,226.50669716392
48005,B,96.44459138486503,2015,78.42264704203501,90.17181797245883
48005,D,173.75621376086445,1964,24.010517097136706,83.49651645181396
48005,B,189.9677718293001,1955,51.634364616385525,173.32091637249482
48005,D,166.23168414563844,1990,59.63423636156415,224.19382474921713
48005,D,91.02683629649648,1956,56.25740828094755,160.6002905183917
48005,D,174.4504990892387,1971,41.66227991628101,178.71553903930499
48005,D,101.5239191588885,1961,27.29722638071025,81.90893602263768
48005,E,130.22746980453726,1968,78.31056790733919,117.37915835422137
48005,B,150.9343273923953,2000,21.317078090276183,54.17222785830762
48005,D,176.46622187697503,1986,79.74337412397193,244.9586324293566
48005,D,150.67589863652083,2003,12.145675154406424,101.53657770224274
48005,C,68.86037174007973,1980,39.11351563028586,219.24905840380987
48005,D,163.68915204800578,2009,12.807643398873774,223.40629922448971
48005,D,158.40619175673584,1985,12.05761120295551,129.10303396980305
48005,D,185.8471781616281,1988,29.37794580645361,168.47006571867246
48005,F,141.96513788407356,1961,36.86930063074574,143.1625614040497
48005,E,157.46512086987514,1991,26.628032744671437,244.27901880832792
48005,B,84.1356025021961,2018,14.839295033063362,137.4330777633653
48005,B,200.50337343466896,1951,16.66830555682384,180.42464910608757
48005,C,37.7111735242341,1977,28.069340289078927,181.34733290825844
48005,C,96.61493993440543,1994,26.591949997583534,96.93480765231021
48005,E,137.3251940865358,1963,33.162255409242036,139.7555147662806
48005,D,111.82663316488966,1957,53.2001490622821,191.35544337708916
48005,B,62.74112879823097,1977,12.566999885348007,197.2804030131281
48005,D,180.72546426526742,1993,41.24580525588099,222.84323553483378
48005,D,115.52386948760471,2010,12.393143615741073,247.3385960714323
48005,B,58.13291772764769,2008,32.13092734837254,151.4469617376785
48005,A,151.46244859467924,1969,79.06410860711928,243.0237392872091
48005,A,126.96712968106321,2006,50.607856078682765,100.84491597949865
48005,D,142.62674459106674,1972,56.680498028227305,77.93025095126258
48005,A,175.40914083687582,1957,77.89384322750892,68.78014315788369
48005,D,68.00470364372346,1954,77.43427829742794,101.06130494568637
48005,D,117.41857638538653,1979,44.80223348058991,173.56944804024278
48005,E,129.8291036743869,2021,65.68572601874823,233.73555939870084
48005,D,161.95924338581563,2011,56.04917132221252,249.88274515413332
48005,A,210.7686342413453,2022,70.65070672693517,248.6673874717257
48005,E,106.90167818407235,2017,55.535815345420104,203.03817291115692
48005,F,94.6160108767169,1968,66.5492159358881,202.45702695532316
48005,E,184.4878264187687,2003,55.43522611560751,115.67624557701622
48005,D,106.93000375224386,2020,49.44072491439211,126.08394084655954
48005,D,173.17828596930093,1984,25.908873908420603,64.63918475368872
48005,D,232.30644829680057,2015,42.44458306604007,125.95715603584597
48005,E,-4.970285743678659,1975,17.6242839292712,79.79837119403894
48005,D,234.5471286295371,1993,43.36868325288114,128.87306476367004
48005,D,162.7450189810355,1992,11.276280787345314,89.15559713670922
48005,A,168.97054504170308,1996,14.989618903861473,240.93200600666148
48005,D,59.13475720684936,1962,34.61358810677441,70.2841656898433
48005,C,95.89766025858916,2001,56.90672242276592,235.92117548439785
48005,D,78.5535959567039,1979,60.13054719562355,104.52480014670675
48005,C,128.17387395837267,1956,57.6782497775488,86.28766953912539
48005,D,89.93161780243932,1991,22.965991258318677,233.55049783427546
48005,C,135.98909670712686,1956,67.10240504529966,124.70193660767752
48005,D,132.37488984186055,1958,65.56206952663615,179.32118268457202
48005,B,232.52273839081352,1991,73.00161863786079,120.68427586054362
48005,C,84.07963672154013,1968,69.58219825969395,184.2849339061229
48005,E,164.74621884722205,1968,53.67015272736011,140.35353574744582
48005,D,146.21813736264554,1982,25.171786006354296,69.14291110403235
48005,A,83.25447927611003,1964,26.117231789950896,91.23723290368528
48005,D,156.71221448514893,2006,44.773680120141854,247.55710404297747
48005,B,52.39177766876375,1967,38.30231376730045,135.63992298512295
48005,D,148.44915395926375,1988,64.08359092145677,102.97908944734668
48005,D,201.4198311564269,1985,23.430712730312003,114.67431242310415
48005,C,90.67179602186407,1998,68.23041792759955,183.92052322679237
48005,B,110.1232387151516,1981,47.80083402231574,226.01581751229165
48005,D,20.313217871427227,1952,23.322740397334748,60.46777515730166
48005,C,138.70282849237861,1984,61.145535716747226,143.04112245674364
48005,B,147.91634562608613,1980,62.83864739585934,84.0955876347835
48005,C,123.80026957062057,1979,41.52596553807296,201.23266577904923
48005,C,174.56550602971345,1965,36.77683961708058,73.96580040352927
48005,G,150.45690604535883,1954,61.60261575050702,203.7199609577017
