feature,mean_abs_shap
radiacion_solar,0.3071306
rad_solar_daylight,0.02872378
humedad_x_rad,0.0004886559
rolling_max_24h,0.00045841341
elev_x_rad,4.6593766e-05
humedad_relativa,3.7655893e-05
generacion_lag_1h,3.2568056e-05
nubosidad,2.142622e-05
velocidad_viento,2.0216663e-05
generacion_lag_168h,1.8994971e-05
generacion_lag_24h,1.6828813e-05
solar_azimuth,1.6765649e-05
generacion_lag_3h,1.6579817e-05
solar_elevation,1.4015435e-05
is_daylight,1.3439846e-05
day_of_year,1.297909e-05
temperatura,1.23376285e-05
sin_day_of_year,1.2087625e-05
rolling_mean_7d,1.0209029e-05
cos_day_of_year,1.0096622e-05
rolling_mean_24h,1.0092095e-05
rolling_std_24h,9.752862e-06
day_of_week,8.261958e-06
cos_hour,4.7342e-06
precipitacion,3.4599109e-06
month,2.2761515e-06
hour_local,1.8990153e-06
sin_month,1.4512674e-06
cos_month,1.3991963e-06
sin_hour,4.2095903e-07
temp_high_flag,1.6065958e-07
emisiones_co2_media,0.0
anyo_construccion_media,0.0
superficie_util_n_edificios,0.0
superficie_util_media,0.0
emisiones_co2_n_edificios,0.0
consumo_energia_primaria_media,0.0
is_weekend,0.0
calificacion_num_n_edificios,0.0
calificacion_num_media,0.0
consumo_energia_primaria_n_edificios,0.0
temp_squared,0.0
anyo_construccion_n_edificios,0.0
